label,x,y,plot_type,plot_num
broiler_line_B,20773.662745620277,194303.1293665367,path,3
broiler_line_B,22390.753336214042,194303.1293665367,path,3
broiler_line_B,24133.723604850526,194303.1293665367,path,3
broiler_line_B,26012.372441855565,194303.1293665367,path,3
broiler_line_B,28037.261515575297,194303.1293665367,path,3
broiler_line_B,30219.77464953923,194303.1293665367,path,3
broiler_line_B,32572.18182173792,194303.1293665367,path,3
broiler_line_B,35107.708145816054,194303.1293665367,path,3
broiler_line_B,37840.60822198969,194303.1293665367,path,3
broiler_line_B,40786.246275684665,194303.1293665367,path,3
broiler_line_B,43961.18253443155,334707.1734364379,path,3
broiler_line_B,47383.26632862389,476954.7912865104,path,3
broiler_line_B,51071.73643954694,476954.7912865104,path,3
broiler_line_B,55047.329258829035,476954.7912865104,path,3
broiler_line_B,59332.39536738213,476954.7912865104,path,3
broiler_line_B,63951.02518923242,476954.7912865104,path,3
broiler_line_B,68929.18442666085,476954.7912865104,path,3
broiler_line_B,74294.86003806241,476954.7912865104,path,3
broiler_line_B,80078.21757920473,636781.5870217925,path,3
broiler_line_B,86311.77079245084,636781.5870217925,path,3
broiler_line_B,93030.56439736698,636781.5870217925,path,3
broiler_line_B,100272.37111035633,636781.5870217925,path,3
broiler_line_B,108077.90400095211,780614.7937112482,path,3
broiler_line_B,116491.04537862675,780614.7937112482,path,3
broiler_line_B,125559.09349690689,780614.7937112482,path,3
broiler_line_B,135333.0284617525,780614.7937112482,path,3
broiler_line_B,145867.79883912357,933410.832777117,path,3
broiler_line_B,157222.63057302675,933410.832777117,path,3
broiler_line_B,169461.3599507646,933410.832777117,path,3
broiler_line_B,182652.79248730076,933410.832777117,path,3
broiler_line_B,196871.08974637042,933410.832777117,path,3
broiler_line_B,212196.18627302488,933410.832777117,path,3
broiler_line_B,228714.23898158394,933410.832777117,path,3
broiler_line_B,246518.1115254332,933410.832777117,path,3
broiler_line_B,265707.8963717655,933410.832777117,path,3
broiler_line_B,286391.4775163489,933410.832777117,path,3
broiler_line_B,308685.137001871,933410.832777117,path,3
broiler_line_B,332714.2086496772,971333.8683041183,path,3
broiler_line_B,358613.78268014884,971333.8683041183,path,3
broiler_line_B,386529.46518306085,971333.8683041183,path,3
broiler_line_B,416618.1967076231,815553.2942872803,path,3
broiler_line_B,449049.1345742768,815553.2942872803,path,3
broiler_line_B,484004.6038685605,815553.2942872803,path,3
broiler_line_B,521681.12246347824,815553.2942872803,path,3
broiler_line_B,562290.5058330019,815553.2942872803,path,3
broiler_line_B,606061.0578679078,815553.2942872803,path,3
broiler_line_B,653238.8543886548,815553.2942872803,path,3
broiler_line_B,704089.1265711496,815553.2942872803,path,3
broiler_line_B,758897.7520629455,815553.2942872803,path,3
broiler_line_B,817972.8621728602,503017.87939436035,path,3
broiler_line_B,881646.5741695398,449463.6886606805,path,3
broiler_line_B,950276.8584278793,449463.6886606805,path,3
broiler_line_B,1024249.5509202858,449463.6886606805,path,3
broiler_line_B,1103980.522366921,449463.6886606805,path,3
broiler_line_B,1189918.0162397684,449463.6886606805,path,3
broiler_line_B,1282545.1687646627,403144.3871085334,path,3
brown_layer,0.0,9281.909437202345,path,4
brown_layer,412.39656616561405,9281.909437202345,path,4
brown_layer,445.8242518202098,9281.909437202345,path,4
brown_layer,481.9614900266416,9281.909437202345,path,4
brown_layer,521.0279093618628,9281.909437202345,path,4
