CHROM,Population,SD,MIN,MAX,MEAN
17,red junglefowl,0.001368391146679813,8.84932e-5,0.00649318,0.004002942194941635
17,white layer,0.001180877938866659,1.32315e-5,0.00530065,0.002080948197530864
18,broiler line A,0.001496397446670709,4.82091e-5,0.0101976,0.0034901339239858907
18,broiler line B,0.001549903337154838,2.8686e-5,0.00964263,0.0032642075319787986
18,brown layer,0.0011563327064237198,1.65225e-5,0.0075586,0.0023238875048913043
18,ixworth,0.001603311295460796,4.01269e-5,0.0135694,0.0036312279160493825
18,red junglefowl,0.0016536812922136553,3.65755e-5,0.0112899,0.004439224372310406
18,white layer,0.0010743192260597697,2.75314e-5,0.00754198,0.0017041573074545455
19,broiler line A,0.001412247653021677,4.56799e-5,0.0071362,0.003705571516502947
19,broiler line B,0.0013254823450658119,2.80163e-5,0.00702619,0.00337761341827112
19,brown layer,9.67830562242021e-4,1.09798e-4,0.00510068,0.002103140559055118
19,ixworth,0.0014793346778936372,1.16205e-5,0.0075125,0.003777758334637965
19,red junglefowl,0.0014905350754880647,4.02124e-5,0.00785706,0.004082239892730845
19,white layer,8.866721195101652e-4,1.93042e-5,0.00423799,0.001696389329916318
20,broiler line A,0.0013220328537191242,1.77506e-4,0.00687593,0.003748387241726619
20,broiler line B,0.0013380240617701631,1.44393e-4,0.00647424,0.003445070048920863
20,brown layer,0.0011694668661480548,1.39856e-5,0.00519571,0.0021336574185131197
