sample	unit	platform	fq1	fq2
ix23	2	ILLUMINA	data/D03_L004_R1.fastq.gz	data/D03_L004_R2.fastq.gz
ix24	1	ILLUMINA	data/D04_L003_R1.fastq.gz	data/D04_L003_R2.fastq.gz
ix24	2	ILLUMINA	data/D04_L004_R1.fastq.gz	data/D04_L004_R2.fastq.gz
ix25	1	ILLUMINA	data/D05_L003_R1.fastq.gz	data/D05_L003_R2.fastq.gz
ix25	2	ILLUMINA	data/D05_L004_R1.fastq.gz	data/D05_L004_R2.fastq.gz
ix26	1	ILLUMINA	data/D06_L003_R1.fastq.gz	data/D06_L003_R2.fastq.gz
ix26	2	ILLUMINA	data/D06_L004_R1.fastq.gz	data/D06_L004_R2.fastq.gz
ix27	1	ILLUMINA	data/E01_L003_R1.fastq.gz	data/E01_L003_R2.fastq.gz
ix27	2	ILLUMINA	data/E01_L004_R1.fastq.gz	data/E01_L004_R2.fastq.gz
ix28	1	ILLUMINA	data/E02_L003_R1.fastq.gz	data/E02_L003_R2.fastq.gz
ix28	2	ILLUMINA	data/E02_L004_R1.fastq.gz	data/E02_L004_R2.fastq.gz
ix29	1	ILLUMINA	data/E03_L003_R1.fastq.gz	data/E03_L003_R2.fastq.gz
ix29	2	ILLUMINA	data/E03_L004_R1.fastq.gz	data/E03_L004_R2.fastq.gz
ix30	1	ILLUMINA	data/E04_L003_R1.fastq.gz	data/E04_L003_R2.fastq.gz
ix30	2	ILLUMINA	data/E04_L004_R1.fastq.gz	data/E04_L004_R2.fastq.gz
ix31	1	ILLUMINA	data/E05_L003_R1.fastq.gz	data/E05_L003_R2.fastq.gz
ix31	2	ILLUMINA	data/E05_L004_R1.fastq.gz	data/E05_L004_R2.fastq.gz
ix32	1	ILLUMINA	data/E06_L003_R1.fastq.gz	data/E06_L003_R2.fastq.gz
ix32	2	ILLUMINA	data/E06_L004_R1.fastq.gz	data/E06_L004_R2.fastq.gz
RJF_thai1	1	ILLUMINA	data/ERR2985532_R1.fastq.gz	data/ERR2985532_R2.fastq.gz
RJF_thai2	1	ILLUMINA	data/ERR2985533_R1.fastq.gz	data/ERR2985533_R2.fastq.gz
RJF_thai3	1	ILLUMINA	data/ERR2985534_R1.fastq.gz	data/ERR2985534_R2.fastq.gz
RJF_thai4	1	ILLUMINA	data/ERR2985535_R1.fastq.gz	data/ERR2985535_R2.fastq.gz
RJF_thai5	1	ILLUMINA	data/ERR2985536_R1.fastq.gz	data/ERR2985536_R2.fastq.gz
RJF_thai6	1	ILLUMINA	data/ERR2985537_R1.fastq.gz	data/ERR2985537_R2.fastq.gz
