run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR15463839	SAMEA119567900	ERX14867771	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/039/ERR15463839/ERR15463839_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/039/ERR15463839/ERR15463839_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463839/A03_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463839/A03_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/039/ERR15463839/ERR15463839.bam
ERR15463879	SAMEA119567908	ERX14867811	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/079/ERR15463879/ERR15463879_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/079/ERR15463879/ERR15463879_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463879/B04_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463879/B04_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/079/ERR15463879/ERR15463879.bam
ERR15463842	SAMEA119567901	ERX14867774	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/042/ERR15463842/ERR15463842_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/042/ERR15463842/ERR15463842_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463842/A04_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463842/A04_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/042/ERR15463842/ERR15463842.bam
ERR15463900	SAMEA119567910	ERX14867832	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/000/ERR15463900/ERR15463900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/000/ERR15463900/ERR15463900_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463900/B06_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463900/B06_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/000/ERR15463900/ERR15463900.bam
ERR15463843	SAMEA119567901	ERX14867775	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/043/ERR15463843/ERR15463843_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/043/ERR15463843/ERR15463843_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463843/A04_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463843/A04_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/043/ERR15463843/ERR15463843.bam
ERR15463911	SAMEA119567911	ERX14867843	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/011/ERR15463911/ERR15463911_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/011/ERR15463911/ERR15463911_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463911/B07_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463911/B07_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/011/ERR15463911/ERR15463911.bam
ERR15463986	SAMEA119567915	ERX14867882	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/086/ERR15463986/ERR15463986_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/086/ERR15463986/ERR15463986_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463986/C04_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463986/C04_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/086/ERR15463986/ERR15463986.bam
ERR15464034	SAMEA119567915	ERX14867930	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/034/ERR15464034/ERR15464034_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/034/ERR15464034/ERR15464034_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464034/C04_L004_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464034/C04_L004_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/034/ERR15464034/ERR15464034.bam
ERR15463844	SAMEA119567902	ERX14867776	PRJEB89160	9031	Gallus gallus		ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463844/A05_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15463844/A05_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/044/ERR15463844/ERR15463844.bam
ERR15464039	SAMEA119567916	ERX14867935	PRJEB89160	9031	Gallus gallus	ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/039/ERR15464039/ERR15464039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR154/039/ERR15464039/ERR15464039_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464039/C05_L003_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR154/ERR15464039/C05_L003_R2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR154/039/ERR15464039/ERR15464039.bam
